Bug ID,Product,Component,Summary
1436291,Firefox for Android,Activity Stream,"Context menu animation broken when ""Delete from History"" is added"
1436379,Firefox for Android,Activity Stream,Links do not work when Pocket stories are updated but the new content is not displayed
1254660,Firefox for Android,Activity Stream,Don't list both http and https versions of a URL in top sites
1273667,Firefox for Android,Activity Stream,Simplify long-press context menu for top sites grid items
1299685,Firefox for Android,Activity Stream,Consider replacing ActivityStream topsites' ViewPager + RecyclerView mix with a RecylerView + LinearSnapHelper
1315197,Firefox for Android,Activity Stream, Activity Stream topsites: fix default announcements/navigation
1319485,Firefox for Android,Activity Stream,"Add domains table, with domain_id FK in history/bookmarks (and combined)"
1320803,Firefox for Android,Activity Stream,Ability to store/retrieve custom name for a Top Site item
1320806,Firefox for Android,Activity Stream,Allow removing Top Sites items without removing underlying history item
1322501,Firefox for Android,Activity Stream,"Asynchronously obtain, send, and store image data from Gecko to Java"
1322564,Firefox for Android,Activity Stream,Consider loading icons from the network
1324452,Firefox for Android,Activity Stream,Context menu is misplaced and wrongly rendered when turning tablet into landscape mode
1333545,Firefox for Android,Activity Stream,Box/Border around items in NavigationView on Asus devices
1335817,Firefox for Android,Activity Stream,Highlights algorithm: Add domain visit frequency
1335819,Firefox for Android,Activity Stream,Highlights algorithm: Use main image size
1335824,Firefox for Android,Activity Stream,Highlights algorithm: Consider lowering score of items without or low quality icons
1338561,Firefox for Android,Activity Stream,An incomplete preview context menu is displayed when the keyboard is triggered
1340541,Firefox for Android,Activity Stream,Add toast when user chooses to Copy Address from Top sites or Highlights
1350886,Firefox for Android,Activity Stream,Remove MOZ_ANDROID_ACTIVITY_STREAM build flag
1352342,Firefox for Android,Activity Stream,Screen is hard to use on large tablets
1377292,Firefox for Android,Activity Stream, Unify context menus
1386725,Firefox for Android,Activity Stream,Remove old top sites code once the new Activity Stream panel is shipping
1388187,Firefox for Android,Activity Stream,Highlights query is still very slow
1388392,Firefox for Android,Activity Stream,Top Sites: Show next page partially
1388415,Firefox for Android,Activity Stream,Investigate how big highlight preview images are
1388558,Firefox for Android,Activity Stream,Default top-sites background is the same as the home panel background
